Experiment,Topic,Metric,Value
PCA/HDBSCAN,Indian defense,c_umass,-0.2421903742351393
PCA/HDBSCAN,Indian defense,c_npmi,0.08771717939491935
PCA/HDBSCAN,Indian economy,c_v,0.4710545467984727
PCA/HDBSCAN,Indian economy,c_umass,-0.05406201441327744
PCA/HDBSCAN,Indian economy,c_npmi,0.0787686371816543
PCA/HDBSCAN,Indian infra,c_v,0.5538369487263389
PCA/HDBSCAN,Indian infra,c_umass,-0.0765878537524644
PCA/HDBSCAN,Indian infra,c_npmi,0.09523328197325961
PCA/HDBSCAN,Combined,c_v,0.5483273291722152
PCA/HDBSCAN,Combined,c_umass,-0.1639232432797329
PCA/HDBSCAN,Combined,c_npmi,0.054367818427161124
UMAP/HDBSCAN,Indian climate,c_v,0.6449219513021909
UMAP/HDBSCAN,Indian climate,c_umass,-0.4945322975468612
UMAP/HDBSCAN,Indian climate,c_npmi,0.06353192993340127
UMAP/HDBSCAN,Indian defense,c_v,0.5684914335493562
UMAP/HDBSCAN,Indian defense,c_umass,-0.5201747429218035
UMAP/HDBSCAN,Indian defense,c_npmi,-0.02689083833859979
UMAP/HDBSCAN,Indian economy,c_v,0.5720483663026121
UMAP/HDBSCAN,Indian economy,c_umass,-0.664322279038342
UMAP/HDBSCAN,Indian economy,c_npmi,-0.020442091861312902
UMAP/HDBSCAN,Indian infrastructure,c_v,0.5542002628475378
UMAP/HDBSCAN,Indian infrastructure,c_umass,-0.47719124883145125
UMAP/HDBSCAN,Indian infrastructure,c_npmi,0.017208648384517126
UMAP/HDBSCAN,Combined,c_v,0.6462862043215376
UMAP/HDBSCAN,Combined,c_umass,-0.036041342941853446
UMAP/HDBSCAN,Combined,c_npmi,0.10593721455470693
SVD/HDBSCAN,Indian climate,c_v,0.6600557139618333
SVD/HDBSCAN,Indian climate,c_umass,-0.18063521435449706
SVD/HDBSCAN,Indian climate,c_npmi,0.1836311090780496
SVD/HDBSCAN,Indian defense,c_v,0.5392192726582603
SVD/HDBSCAN,Indian defense,c_umass,-0.339902722730002
SVD/HDBSCAN,Indian defense,c_npmi,-0.07364770043810975
SVD/HDBSCAN,Indian economy,c_v,0.6125688312358789
SVD/HDBSCAN,Indian economy,c_umass,-0.3484198820102517
SVD/HDBSCAN,Indian economy,c_npmi,0.136701086856724
SVD/HDBSCAN,Indian infrastructure,c_v,0.5361429810032918
SVD/HDBSCAN,Indian infrastructure,c_umass,-0.07208268588463479
SVD/HDBSCAN,Indian infrastructure,c_npmi,0.05409897292402037
SVD/HDBSCAN,Combined,c_v,0.7219431301269442
SVD/HDBSCAN,Combined,c_umass,-0.5096532616504793
SVD/HDBSCAN,Combined,c_npmi,0.1589616384843939
